E: 2.000000, tau: 1 sm: -28.792768
E: 3.000000, tau: 1 sm: -4.219252
E: 4.000000, tau: 1 sm: -0.762665
E: 5.000000, tau: 1 sm: 0.086566
E: 6.000000, tau: 1 sm: 0.371039
E: 7.000000, tau: 1 sm: 0.504508
E: 8.000000, tau: 1 sm: 0.568842
E: 9.000000, tau: 1 sm: 0.614025
E: 10.000000, tau: 1 sm: 0.642878
