E: 2.000000, tau: 1 sm: -23.161917
E: 3.000000, tau: 1 sm: -6.416569
E: 4.000000, tau: 1 sm: -3.031957
E: 5.000000, tau: 1 sm: -1.679433
E: 6.000000, tau: 1 sm: -1.010341
E: 7.000000, tau: 1 sm: -0.573838
E: 8.000000, tau: 1 sm: -0.268282
E: 9.000000, tau: 1 sm: -0.039284
E: 10.000000, tau: 1 sm: 0.131749
E: 11.000000, tau: 1 sm: 0.256748
E: 12.000000, tau: 1 sm: 0.376899
E: 13.000000, tau: 1 sm: 0.473466
E: 14.000000, tau: 1 sm: 0.553356
