Estimate,Value
[63.83547982],65.28
[65.84724324],62.9
[62.6177763],61.81
[61.87735283],62.1
[62.30451007],60.72
[60.56534722],56.93
[56.18349676],52.97
[52.19102985],52.52
[52.24075592],54.75
[54.89005076],58.38
[58.60886097],57.32
[56.72165364],59.02
[59.02424424],56.74
[56.24095472],56.05
[55.83423593],56.55
[56.81456342],53.28
[52.63353194],55.31
[55.84602444],55.5
[55.50157554],55.21
[55.1684939],55.73
[55.78086324],56.16
[56.25259303],59.33
[59.87326072],56.9
[56.48356578],53.12
[52.41800848],53.27
[53.48026275],53.49
[53.50563288],55.2
[55.50322688],55.17
[55.01371896],56.69
[56.90694829],56.85
[56.78993745],56.9
[56.9078246],58.07
[58.31730246],57.64
[57.64088178],59.25
[59.63205036],60.75
[61.16803948],61.29
[61.47581167],62.09
[62.42214219],60.84
[60.75446701],58.29
[58.02535912],56.15
[55.90406896],52.7
[52.15760784],50.36
[49.85751894],50.83
[50.77724428],53.14
[53.23708831],48.36
[47.07051091],45.57
[44.65229455],32.39
[29.58326939],24.19
[22.10348227],19.44
[18.04178308],21.69
[21.19589105],24.41
[24.07404093],20.12
[17.86312679],3.32
[-1.26763594],15.71
[17.12027259],23.46
[24.35852486],26.4
[25.69866616],33.1
[34.5721172],34.19
[34.36092846],37.32
[38.96747231],37.87
[38.7567823],38.35
[39.75698814],39.22
[40.17273233],39.85
[40.93435393],40.44
[40.81759897],40.57
[40.99009839],41.34
[41.27925301],40.69
[40.58556113],41.57
[41.33035431],42.08
[42.16781197],42.73
[42.47364915],42.93
