Date,    OECD_consumption refined petroleum
2018-01-01,47263.36481
2018-02-01,48103.92129
2018-03-01,48064.58381
2018-04-01,46808.65333
2018-05-01,46918.46377
2018-06-01,47552.93567
2018-07-01,48183.72961
2018-08-01,48832.392
2018-09-01,47140.47467
2018-10-01,47951.21245
2018-11-01,47877.44933
2018-12-01,46908.09316
2019-01-01,47398.14726
2019-02-01,47855.07114
2019-03-01,46512.00665
2019-04-01,47158.376
2019-05-01,46096.62639
2019-06-01,46679.759
2019-07-01,47829.46242
2019-08-01,48091.73539
2019-09-01,46787.09567
2019-10-01,47313.18939
2019-11-01,47173.24067
