E: 2.000000, tau: 1 sm: -19.816958
E: 3.000000, tau: 1 sm: -3.866601
E: 4.000000, tau: 1 sm: -1.051375
E: 5.000000, tau: 1 sm: -0.189425
E: 6.000000, tau: 1 sm: 0.223460
E: 7.000000, tau: 1 sm: 0.414875
E: 8.000000, tau: 1 sm: 0.543062
E: 9.000000, tau: 1 sm: 0.608584
E: 10.000000, tau: 1 sm: 0.647694
E: 11.000000, tau: 1 sm: 0.680228
E: 12.000000, tau: 1 sm: 0.703185
E: 13.000000, tau: 1 sm: 0.719420
E: 14.000000, tau: 1 sm: 0.737898
