Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,876.969971,919.299988,840.820007,860.25,860.25,9888000
2000-02-01,860.25,975.289978,858.090027,973.22998,973.22998,10571100
2000-03-01,973.22998,1043.459961,972.830017,1005.030029,1005.030029,13629800
2000-04-01,1005.030029,1007.700012,830.049988,922.450012,922.450012,12435200
2000-05-01,922.450012,950.5,873.969971,904.969971,904.969971,10321300
2000-06-01,904.969971,949.210022,904.969971,935.890015,935.890015,9747500
2000-07-01,935.890015,955.47998,900.909973,906.440002,906.440002,7698200
2000-08-01,906.440002,946.130005,903.130005,943.47998,943.47998,8621600
2000-09-01,943.47998,976.599976,918.26001,954.309998,954.309998,9766800
2000-10-01,954.309998,957.369995,887.200012,909.299988,909.299988,12746800
2000-11-01,909.299988,925.369995,838.429993,846.590027,846.590027,12214900
2000-12-01,846.590027,897.859985,841.52002,897.75,897.75,14739500
2001-01-01,897.75,937.609985,861.460022,930.119995,930.119995,15208500
2001-02-01,930.119995,944.159973,887.340027,907.719971,907.719971,13455100
2001-03-01,907.719971,936.640015,827.919983,877.039978,877.039978,18079300
2001-04-01,877.039978,961.049988,830.320007,951.780029,951.780029,15512200
2001-05-01,951.780029,961.669983,917.059998,939.630005,939.630005,14637000
2001-06-01,939.630005,955.659973,896.599976,917.799988,917.799988,13359100
2001-07-01,917.799988,917.799988,872.669983,896.210022,896.210022,11744700
2001-08-01,896.210022,899.47998,866.119995,873.400024,873.400024,11283500
2001-09-01,873.400024,880.530029,776.880005,808.77002,808.77002,10898900
2001-10-01,808.77002,841.289978,804.48999,827.690002,827.690002,15572600
2001-11-01,827.690002,830.450012,792.52002,816,816,12107800
2001-12-01,816,850.109985,810.460022,847.609985,847.609985,10760900
2002-01-01,847.609985,848.099976,821.830017,842.409973,842.409973,11744500
2002-02-01,842.409973,868.51001,821.119995,865.580017,865.580017,10670700
2002-03-01,865.580017,911.419983,861,910.48999,910.48999,11408600
2002-04-01,910.48999,933.179993,897.119995,930.869995,930.869995,11629700
2002-05-01,930.869995,965.679993,929.960022,961.580017,961.580017,13514600
2002-06-01,961.580017,961.580017,882.75,892.98999,892.98999,13281400
2002-07-01,893.400024,899.76001,757.679993,837.309998,837.309998,17342200
2002-08-01,837.309998,876.869995,807.340027,867.330017,867.330017,12832900
2002-09-01,867.330017,881.780029,814.27002,827.280029,827.280029,11467800
2002-10-01,827.280029,831.039978,763.25,819,819,15700800
2002-11-01,819,837.159973,803.539978,812.659973,812.659973,11501600
2002-12-01,812.659973,832.820007,809.280029,824.380005,824.380005,12105700
2003-01-01,824.380005,841.059998,799.98999,820.48999,820.48999,13204000
2003-02-01,820.48999,833.909973,803.349976,830.630005,830.630005,10803400
2003-03-01,830.630005,835.710022,807.349976,827.26001,827.26001,13728500
2003-04-01,827.26001,855.5,818.22998,854.210022,854.210022,17165700
2003-05-01,854.210022,940.340027,853.26001,940.26001,940.26001,14953100
2003-06-01,940.26001,974.960022,937.780029,969.200012,969.200012,16596400
2003-07-01,969.200012,979.01001,940.289978,944.549988,944.549988,28796400
2003-08-01,944.549988,977.460022,938.72998,976.450012,976.450012,12360700
2003-09-01,976.450012,1007.590027,970.890015,990.809998,990.809998,15804200
2003-10-01,990.809998,1070.589966,990.690002,1063.329956,1063.329956,16398000
2003-11-01,1063.329956,1099.959961,1055.810059,1098.099976,1098.099976,14241900
2003-12-01,1098.099976,1176.680054,1098.099976,1173.550049,1173.550049,16412100
