Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,6762.109863,6870.490234,6469.109863,6574.009766,6574.009766,0
2000-02-01,6606.890137,6657.540039,6094.910156,6266.419922,6266.419922,0
2000-03-01,6338.740234,6899.359863,6221.899902,6848.609863,6848.609863,0
2000-04-01,6975.069824,6991.350098,6465.72998,6811.169922,6811.169922,0
2000-05-01,6878.950195,6966.290039,6644.109863,6805.25,6805.25,0
2000-06-01,6888.359863,6975.379883,6766.759766,6798.169922,6798.169922,0
2000-07-01,6874.930176,7018.839844,6758.310059,6773.850098,6773.850098,0
2000-08-01,6851.350098,7140.02002,6851.350098,7132.299805,7132.299805,0
2000-09-01,7164.549805,7164.549805,6913.529785,7010.810059,7010.810059,0
2000-10-01,7046.02002,7061.879883,6599.279785,7042.319824,7042.319824,0
2000-11-01,7026.240234,7035.649902,6624.02002,6659.120117,6659.120117,0
2000-12-01,6677.209961,6977.600098,6608.259766,6945.569824,6945.569824,0
2001-01-01,6785.689941,7022.970215,6754.819824,7017.149902,7017.149902,26725300000
2001-02-01,7048.129883,7048.129883,6587.430176,6629.089844,6629.089844,21617600000
2001-03-01,6610.169922,6759.259766,5988.430176,6298.350098,6298.350098,27806610000
2001-04-01,6230.990234,6742.22998,6049.02002,6712.52002,6712.52002,25318490000
2001-05-01,6778.180176,7016.299805,6687.040039,6784.850098,6784.850098,24525900000
2001-06-01,6796.899902,6894.390137,6513.419922,6574.319824,6574.319824,24748030000
2001-07-01,6632.580078,6632.580078,6324.359863,6523.359863,6523.359863,23793710000
2001-08-01,6525.580078,6538.799805,6197.259766,6215.660156,6215.660156,23359200000
2001-09-01,6233.740234,6233.740234,5331.379883,5750.419922,5750.419922,25121190000
2001-10-01,5731.490234,5990.859863,5731.490234,5776.850098,5776.850098,29951280000
2001-11-01,5878.569824,6219.790039,5878.569824,6125.040039,6125.040039,26330000000
2001-12-01,6082.959961,6284.810059,6019.310059,6236.390137,6236.390137,25128570000
2002-01-01,6244.209961,6307.970215,5973.419922,6116.899902,6116.899902,29746200000
2002-02-01,6087.930176,6124.299805,5894.75,6117.959961,6117.959961,26047600000
2002-03-01,6224.02002,6445.009766,6224.02002,6348.790039,6348.790039,26546000000
2002-04-01,6327.109863,6327.109863,6010.430176,6071.220215,6071.220215,28568900000
2002-05-01,6136.459961,6193.879883,5977.859863,6035.27002,6035.27002,26874200000
2002-06-01,5901.830078,5920.870117,5543.279785,5636.540039,5636.540039,30601860000
2002-07-01,5535.240234,5598.680176,4549.660156,5195.609863,5195.609863,42228720000
2002-08-01,5067.879883,5452.450195,4793.180176,5239.810059,5239.810059,29298400000
2002-09-01,5036.589844,5205.759766,4709.330078,4709.959961,4709.959961,27723710000
2002-10-01,4873.75,5093.259766,4452.490234,5000.319824,5000.319824,37856310000
